Inspection_ID,DBA_Name,AKA_Name,License,Facility_Type,Risk,Address,City,State,Zip,Inspection_Date,Inspection_Type,Results,Violations,Latitude,Longitude,Location
2079132,MARRIOT MARQUIS CHICAGO,MARRIOT MARQUIS CHICAGO,2517328,Restaurant,Risk 1 (High),2121 S PRAIRIE AVE ,CHICAGO,IL,60616,8/28/2017,License,Pass,,41.85365089,-87.62053358,"(41.853650885040594, -87.62053358114167)"
2079129,JET'S PIZZA,JET'S PIZZA,2522268,Restaurant,Risk 2 (Medium),1025 W MADISON ST ,CHICAGO,IL,60607,8/28/2017,License,Not Ready,,41.8815725,-87.65305234,"(41.88157249576794, -87.65305233593274)"
2079125,ROOM 1520,ROOM 1520,2446638,Special Event,Risk 3 (Low),301 N JUSTINE ST ,CHICAGO,IL,60607,8/28/2017,License Re-Inspection,Not Ready,"8. SANITIZING RINSE FOR EQUIPMENT AND UTENSILS:  CLEAN, PROPER TEMPERATURE, CONCENTRATION, EXPOSURE TIME - Comments: NO DISH WASHING FACILITIES ON SITE, (NO THREE COMPARTMENT SINK, WITH GREASE TRAP, OR DISHMACHINE), INSTRUCTED TO PROVIDE, | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments:  NO EXPOSED HAND SINK FOR REAR SERVICE AREA, INSTRUCTED TO PROVIDE,
 | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: NO LICENSE PEST CONTROL LOG BOOK AT THIS TIME OF INSPECTION, INSTRUCTED TO PROVIDE, UPON NEXT VISIT,",41.88657652,-87.66532812,"(41.88657652150854, -87.66532812140231)"
2079123,MARRIOT MARQUIS CHICAGO,MARRIOT MARQUIS CHICAGO,2517338,Restaurant,Risk 1 (High),2121 S PRAIRIE AVE ,CHICAGO,IL,60616,8/28/2017,License,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST PROVIDE OVERHEAD PROTECTION FOR COFFEE/TEA STATION OUTSIDE OF BALLROOM ON 4TH FL. AND ON 2ND FL. OUTSIDE OF BANQUET KITCHEN IN COORIDOR.  | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS AT COFFEE/TEA STATIONS MUST BE MADE SMOOTH AND EASILY CLEANABLE.",41.85365089,-87.62053358,"(41.853650885040594, -87.62053358114167)"
2079105,CHARTWELLS,CICS WEST BELDEN CAMPUS,2549079,CHARTER SCHOOL,Risk 1 (High),2245 N MCVICKER AVE ,CHICAGO,IL,60639,8/28/2017,License Re-Inspection,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: VIOLATION CORRECTED | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: Inspector Comments: MUST INVERT PLASTIC WEAR TO HAVE HANDLES IN UPRIGHT POSITION | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Inspector Comments: MUST CLEAN DEBRIS FROM FLOOR IN WALK IN FREEZER | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Inspector Comments: MUST ADJUST FAUCET HANDLES TO STAY ON LONGER IN 2ND FL. GIRL'S & BOY'S AND RM 211 TOILET ROOMS HAND SINKS.
 | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: VIOLATION CORRECTED",41.92167549,-87.77671136,"(41.921675488910864, -87.7767113569357)"
2079104,SHRIMP'S FISH CHICKEN,SHRIMP'S FISH CHICKEN,2549497,Restaurant,Risk 2 (Medium),4355 S COTTAGE GROVE AVE ,CHICAGO,IL,60653,8/28/2017,License,Fail,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: WALK-IN FREEZER AND REACH-IN FREEZER NOT MAINTAINING PROPER TEMPERATURE. INSTRUCTED MANAGER TO TURN ON ALL FREEZERS. ALL FREEZERS MUST BE OPERABLE AND MAINTAIN PROPER TEMPERATURE. CRITICAL VIOATION 7-38-005A | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: OBSERVED NO EXPOSED SINK IN REAR DISH WASHING AREA. INSTRUCTED MANAGER TO INSTALL EXPOSED SINK IN REAR DISH WASHING AREA FOR PROPER HAND WASHING. CRITICAL VIOLATION 7-38-030 | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO ORIGINAL CHICAGO FOOD SANITATION CERTIFICATE POSTED. INSTRUCTED MANAGER TO PROVIDE ORIGINAL FOOD SANITATION CERTIFICATE. COPIES ARE NOT ACCEPTABLE. SERIOUS VIOLATION 7-38-012A | 22. DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK - Comments: NO CHEMICAL TEST KIT ON SITE. INSTRUCTED MANAGER TO PROVIDE CHEMICAL TEST KIT FOR PROPER SANITIZER CONCENTRATION. SERIOUS VIOLATION 7-38-030 | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: LABEL ALL BULK CONTAINERS IN PREP AREA. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: PROVIDE COVERS FOR ALL BULK CONTAINERS. PROVIDE ADEQUATE SHELVING IN PREP COOLER, WALK-IN COOLER, AND WALK-IN FREEZER. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR OF ALL WALK-IN COOLERS AND FREEZERS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS IN REAR UTILITY AREA. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN LIGHT SHIELD IN PREP AND REAR UTILITY AREA. CLEAN CEILING VENTS IN PREP AND VENTILATION FAN IN WASHROOM(DUST BUILDUP). | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: INSTALL SELF-CLOSING DEVICE ON WASHROOM DOOR. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: REPAIR LEAKING FAUCET AND SPRAYER ON 3-COMPARTMENT SINK. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: REMOVE ALL UNUSED FRYERS INSIDE WALK-IN COOLER.",41.81519729,-87.60653089,"(41.81519729173754, -87.60653088909952)"
2079091,ART'S DRIVE INN,ART'S DRIVE INN,64682,Restaurant,Risk 1 (High),1333 W NORTH AVE ,CHICAGO,IL,60622,8/25/2017,Canvass,Fail,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: FACILITIES DO NOT MAINTAIN PROPER TEMPERATURE.  OBSERVED THE WALK-IN COOLER WITH AN AIR TEMPERATURE OF 48F AND THE 3 DOOR PREP COOLER WITH AN AIR TEMPERATURE OF 43.9F.  BOTH COOLERS WERE USED TO STORE POTENTIALLY HAZARDOUS FOODS SUCH AS EGGS AND CHEESES.  MANAGEMENT INSTRUCTED TO REPAIR AND MAINTAIN THE COOLER BELOW 40F.
CRITICAL VIOLATION 7-38-005A. | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: OBSERVED POTENTIALLY HAZARDOUS FOODS AT IMPROPER TEMPERATURES INSIDE OF THE WALK-IN COOLER, PREP COOLER AND STEAM TABLE.  OBSERVED MEATBALLS AT 125.1F AT THE STEAM TABLE.  OBSERVED EGGS 46.4F, HALF AND HALF CREAMER AT 44.6F, ITALIAN BEEF AT 44.6F, COOKED RICE AT 48.6F, FETA CHEESE AT 43.5F, HAM AT 43.3F, ITALIAN SAUSAGE AT 44.6F, CHORIZO AT 45F, CHICKEN AT 43.9F, GYRO SAUCE AT 47.7F, PIZZA PUFFS AT 46.6F.  MANAGEMENT VOLUNTARILY DISCARDED APPROXIMATELY 200# OF FOOD WORTH $500.
CRITICAL VIOLATION 7-38-005A. | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: PREVIOUS MINOR VIOLATIONS FROM REPORT #1966666 ON 10/18/16 NOT CORRECTED:

32 - BROKEN BASE OF THE CABINET INSIDE THE WASHROOM BY THE OFFICE.INSTRUCTED TO REPAIR/REPLACE.SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE. 

34 - GREASE UNDER FLAT GRILL,DEBRIS THROUGHOUT THE PREMISES ESPECIALLY UNDER SHELVES, EQUIPMENT, ALONG BASEBOARD WALLS AND CORNERS,INCLUDED WALK-IN COOLER,BROKEN MISSING FLOOR TILES UNDER THE DEEP FRYER BY THE COOKING EQUIPMENT AND BY THE FLOOR DRAIN AT REAR AREA,IN FRONT OF THE THREE COMPARTMENT SINK.SURFACE MUST BE SMOOTH CLEANED AND NON-ABSORBENT SURFACE.

35 - BROKEN WALLS INSIDE THE CABINETS OF THE EMPLOYEE WASHROOM, UNDER THE DISPLAY COOLER BY THE GREASE TRAP,INSTRUCTED TO SEAL. ALSO BROKEN WALLS, HOLES, NOT SEAL ON PREMISES THROUGHOUT INCLUDED DRY STORAGE. MUST SEAL ALL HOLES.  SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE, NEED TO REMOVE EXCESS DUST AND SPIDER WEBS ON EAST WALL BESIDE THE REACH-IN COOLER BY THE EXIT REAR DOOR.  WOOD PANELS BEHIND THE THREE COMPARTMENT SINK HAS ROUGH SURFACE, NOT CLEANABLE. INSTRUCTED TO REPLACE. SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT.  SURFACE BLACK DUST BUILD-UP ON VENT COVERS THROUGHOUT THE PREMISES, INSTRUCTED TO CLEAN AND MAINTAIN.  

38 - AN EXPOSED HAND SINK IS NEEDED AT FRONT SERVING AREA.  INSTALL SAID SINK UNDER THE CITY PLUMBING CODE. 

45 - NO FOOD HANDLER CERTIFICATE PROVIDED AT THE TIME OF INSPECTION.INSTRUCTED TO PROVIDE 

SERIOUS VIOLATION 7-42-090. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN THE WALLS OF THE FOOD PREP AREA. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN THE TOP AND SIDES OF THE STOVE AND PREP TABLE. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REPAIR THE LOOSE DOOR GASKET INSIDE OF THE RIGHT DOOR OF THE 3 DOOR PREP COOLER. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: THE 3 COMPARTMENT SINK MUST BE REWELDED WHERE THE SEAMS ARE COMING APART FROM EACH OTHER.  ",41.91060066,-87.66186347,"(41.910600662840906, -87.66186347385191)"
2079087,VINCENT,VINCENT,51614,Restaurant,Risk 1 (High),1475 W BALMORAL AVE ,CHICAGO,IL,60640,8/25/2017,Complaint,Fail,"12. HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA - Comments: NO PAPER TOWELS AT BOTH PREP AREA EXPOSED HAND SINKS AND SOAP UNABLE TO DISPENSE AT 1ST FLOOR PREP EXPOSED HAND SINK WHILE EMPLOYEES WERE NOTED PREPARING FOODS. MUST HAVE SOAP AND PAPER TOWELS AT ALL TIMES. CRITICAL VIOLATION 7-38-030. | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE DURING INITIAL INSPECTION WHILE FOODS WERE BEING PREPARED. CERTIFIED MANAGER WAS TELEPHONED AT THE INITIAL INSPECTION AND ARRIVED THIRTY MINUTES LATER. INSTRUCTED A CITY OF CHICAGO CERTIFIED MANAGER MUST BE ON SITE AT ALL TIMES WHILE FOODS ARE PREPARED. SERIOUS VIOLATION. 7-38-012. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED 20 LIVE FLIES THROUGHOUT THE BASEMENT STORAGE ROOM ON WALLS AND STORED ITEMS. INSTRUCTED TO ELIMINATE OR MINIMIZE ALL FLIES, REMOVE ANY BREEDING SOURCES OF MOIST ORGANIC MATERIAL AND RECOMMEND HAVING PEST CO. SERVICE FOR FLIES. SERIOUS VIOLATION 7-38-020. | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: PREVIOUS MINOR VIOLATIONS  #2050336 ON 5-15-17 NOT CORRECTED. #32- SPLASH GUARD IS NEEDED BETWEEN EXPOSED HAND SINK AND THREE COMPARTMENT SINK, BEHIND BAR. ALSO INSTALL SPLASH GUARD BETWEEN MOP SINK AND THREE COMPARTMENT SINK IN THE KITCHEN. REPLACE BROKEN RUBBER GASKET INSIDE THE TWO DOOR SMALL PREP COOLER ACROSS FROM COOKING EQUIPMENT RUST INSIDE BEER COOLER BEHIND BAR AREA,NEED REMOVE.#35- OPENING ON WALL BETWEEN THE FLOOR AND WALL UNDER THE DISH MACHINE,INSTRUCTED TO PROVIDE BASEBOARD/COVING. SEAL WALL IN BASEMENT AREA BEHIND THEE DISH ROOM.  
SERIOUS VIOLATION 7-42-090. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: BULK SPICES ON COOKS LINE MUST BE LABELED. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS IN THE FOLLOWING AREAS FOUND WITH DIRT AND DEBRIS. STAIRS TO BASEMENT, UNDER BOTH THE THREE COMPARTMENT SINKS, THROUGHOUT THE BASEMENT PREP AND STORAGE AREAS, UNDER THE DISH MACHINE, MUST CLEAN AND MAINTAIN ALL. FLOOR DRAIN MUST BE EXTENDED TO THE FLOOR DRAIN IN BASEMENT NEXT TO THE ICE MACHINE. METAL FLOORING IN THE WALK-IN COOLER IN POOR REPAIR, BUCKLED AND WITH OPEN SEAMS. MUST REPAIR TO BE SEALED, SMOOTH AND CLEANABLE.  | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: EXCESSIVE DUST ON WALLS IN THE BASEMENT PREP AND ON THE WALK-IN COOLER FAN GUARD. MUST CLEAN/REMOVE. MISSING/DAMAGED WALL CAULKING AT THE WASHROOM WASHBOWL AND THE BASEMENT THREE COMPARTMENT SINK. MUST REPLACE. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INTERIOR OF THE DISH MACHINE WITH ENCRUSTED FOOD DEBRIS. INTERIOR/EXTERIOR OF THE WHITE COOLER AT THE DISH AREA DIRTY. INTERIOR OF THE ICE MACHINE BIN DIRTY. MUST CLEAN ALL AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INOPERABLE VENTILATION IN THE WASHROOMS. MUST REPAIR/REPLACE. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: DISH RACKS FOR THE DISHES AT THE DISH MACHINE BLACKENED WITH STAINED DIRT. MUST REPLACE. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ALL STORED ITEMS THROUGHOUT THE BASEMENT STORAGE AREAS MUST BE ORGANIZED AND ELEVATED. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: CLEAN STORED POT/PANS MUST BE INVERTED DURING STORAGE.",41.97974414,-87.66773759,"(41.979744137415764, -87.6677375923677)"
2079083,CAPTAIN HOOKS OF DAN RYAN,CAPTAIN HOOKS OF DAN RYAN,2192934,Restaurant,Risk 2 (Medium),205 W 87TH ST ,CHICAGO,IL,60620,8/25/2017,Complaint Re-Inspection,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: FRONT AND REAR DOORS REPAIRED. | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: OUTSIDE GARBAGE AREA MAINTAINED. | 22. DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK - Comments: CHEMICAL TEST KIT PROVIDED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REMOVE ICE BUILDUP INSIDE WALK-IN FREEZER. REMOVE RUST DEPOSITS ON SHELVING INSIDE WALK-IN COOLER AND FREEZER. 
 | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INSTRUCTED MANAGER TO CLEAN AND SANITIZE ALL FRYERS, FRYER CABINETS, GRILL, PREP TABLES, ROLLING CARTS, HOLDING UNITS, COOLERS, FREEZERS, SHELVES INSIDE WALK-IN COOLERS AND FREEZERS. 
 | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN PREP, STORAGE AND DINING AREAS. 
 | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN WALL BEHIND ALL COOKING EQUIPMENT AND PREP TABLES. CLEAN/REPLACE ALL SOILED CEILING TILES AND CEILING VENTS. 
 | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: PROVIDE ADEQUATE STOPPERS FOR 3-COMPARTMENT SINK TO PROPERLY WASH, RINSE, AND SANITIZE FOOD EQUIPMENT AND UTENSILS. 
 | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELEVATE ALL STOCK OFF FLOOR IN REAR STORAGE AREA, WALK-IN COOLER AND WALK-IN FREEZER. REMOVE ALL UNUSED EQUIPMENT IN REAR STORAGE AREA(FRYERS, ETC) 
 | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: STORE WASH CLOTHS IN SANITIZING SOLUTION AT THE REQUIRED PPM. 
 | 45. FOOD HANDLER REQUIREMENTS MET - Comments: PROVIDE FOOD HANDLER TRAINING FOR ALL EMPLOYEES. 
 | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: CERTIFIED MANAGER ON DUTY",41.73603018,-87.62909451,"(41.73603017519755, -87.6290945085756)"
2079036,JIBARITO'S Y MAS,JIBARITO'S Y MAS,2452249,Restaurant,Risk 1 (High),3400 W FULLERTON AVE ,CHICAGO,IL,60647,8/25/2017,Canvass,Out of Business,,41.9247696,-87.71216993,"(41.92476960356357, -87.71216993271977)"
