business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140114,1/14/2014 0:00,92,Routine - Unscheduled,10_20140114_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140114,1/14/2014 0:00,92,Routine - Unscheduled,10_20140114_103145,Improper storage of equipment utensils or linens,Low Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140114,1/14/2014 0:00,92,Routine - Unscheduled,10_20140114_103154,Unclean or degraded floors walls or ceilings,Low Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140729,7/29/2014 0:00,94,Routine - Unscheduled,10_20140729_103144,Unapproved or unmaintained equipment or utensils,Low Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140729,7/29/2014 0:00,94,Routine - Unscheduled,10_20140729_103129,Insufficient hot water or running water,Moderate Risk
4864,DRAGON CITY BAKERY & CAFE,2367 MISSION St,San Francisco,CA,94110,37.759174,-122.419066,"(37.759174, -122.419066)",14155829718,4864_20161206,12/6/2016 0:00,84,Routine - Unscheduled,4864_20161206_103157,Food safety certificate or food handler card not available,Low Risk
79782,Deli 23,2449 23rd St,San Francisco,CA,94110,,,,,79782_20160503,5/3/2016 0:00,92,Routine - Unscheduled,79782_20160503_103120,Moderate risk food holding temperature,Moderate Risk
76437,Sweetheart Cafe,909 Grant Ave,San Francisco,CA,94108,,,,,76437_20160329,3/29/2016 0:00,76,Routine - Unscheduled,76437_20160329_103113,Sewage or wastewater contamination,High Risk
5813,LICK MIDDLE SCHOOL,1220 Noe St,San Francisco,CA,94114,37.74949,-122.43175,"(37.74949, -122.43175)",14155816139,5813_20140908,9/8/2014 0:00,100,Routine - Unscheduled,,,
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20140214,2/14/2014 0:00,94,Routine - Unscheduled,19_20140214_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20140214,2/14/2014 0:00,94,Routine - Unscheduled,19_20140214_103156,Permit license or inspection report not posted,Low Risk
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20141110,11/10/2014 0:00,94,Routine - Unscheduled,19_20141110_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20141110,11/10/2014 0:00,94,Routine - Unscheduled,19_20141110_103145,Improper storage of equipment utensils or linens,Low Risk
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,24_20140612,6/12/2014 0:00,96,Routine - Unscheduled,24_20140612_103145,Improper storage of equipment utensils or linens,Low Risk
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,24_20140612,6/12/2014 0:00,96,Routine - Unscheduled,24_20140612_103156,Permit license or inspection report not posted,Low Risk
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,24_20141124,11/24/2014 0:00,96,Routine - Unscheduled,24_20141124_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
